video_1_segment_0| Ama audio libros presenta Aristóteles, la gran morad, narración Artur Mas. | Ama audio libros presenta Aristteles, la gran morad, narracin Artur Mas.
video_1_segment_1| Introducción. Avisóteles fue un filósofo y científico griego que vivió en el siglo IV. | Introduccin Avisteles fue un filsofo y cientfico griego que vivi en el siglo IV.
video_1_segment_10| Gran moral es una de sus obras más conocidas en el campo de la ética, en ella aborda la cuestión de cómo vivir una vida virtuosa y feliz. | Gran moral es una de sus obras ms conocidas en el campo de la tica, en ella aborda la cuestin de cmo vivir una vida virtuosa y feliz.
video_1_segment_100| ¿Por qué cuando se intenta explicar el bien, no debe traerse a cuento la idea del bien? Sin embargo, hay gente que se imaginan que | ¿Por qu cuando se intenta explicar el bien, no debe traerse a cuento la idea del bien? Sin embargo, hay gente que se imaginan que.
video_1_segment_1000| no corrompen menos que la riqueza sucederá lo mismo con la virtud, si la justicia o el valor se encontrarán con exceso en el corazón de un | no corrompen menos que la riqueza suceder lo mismo con la virtud, si la justicia o el valor se encontrarn con exceso en el corazn de un.
video_1_segment_1001| hombre, este hombre no sería peor? No, no lo sería. Pero puede añadirse que la gloria procede de la virtud y que | hombre, este hombre no sera peor? No, no lo sera Pero puede aadirse que la gloria procede de la virtud y que.
video_1_segment_1002| que llevada aquella hasta el exceso hacia los hombres malos y corrompidos, luego la virtud llegando a aumentarse y a grandar. | que llevada aquella hasta el exceso hacia los hombres malos y corrompidos, luego la virtud llegando a aumentarse y a grandar.
video_1_segment_1003| pervertirá a los hombres. Y puesto que estamos de acuerdo en que la virtud descausa de la gloria es preciso convenir por consiguiente en que | pervertir a los hombres Y puesto que estamos de acuerdo en que la virtud descausa de la gloria es preciso convenir por consiguiente en que.
video_1_segment_1004| que la virtud aumentándose, corromperá los hombres tanto como así misma. Pero todo esto no es contrario a la verdad. Si la virtud | que la virtud aumentndose, corromper los hombres tanto como as misma Pero todo esto no es contrario a la verdad Si la virtud.
video_1_segment_1005| produce otros efectos admirables, como realmente sucede, el más positivo consiste sin contradicción en que asegura el uso. | produce otros efectos admirables, como realmente sucede, el ms positivo consiste sin contradiccin en que asegura el uso.
video_1_segment_1006| sojuiciosos de todos estos bienes mediante su influencia sobre los que los poseen. El hombre de bien que no sepa emplear como esco | sojuiciosos de todos estos bienes mediante su influencia sobre los que los poseen El hombre de bien que no sepa emplear como esco.
video_1_segment_1007| conveniente, los sonores y el poder que le hayan cabido en suerte, cesará por esto mismo de ser hombre de bien, por consiguiente, ni los sonores. | conveniente, los sonores y el poder que le hayan cabido en suerte, cesar por esto mismo de ser hombre de bien, por consiguiente, ni los sonores.
video_1_segment_1008| ni el poder podrán corromper al hombre virtuoso como no pueden corromper la virtu misma. En resumen, puesto que hemos demuestrado | ni el poder podrn corromper al hombre virtuoso como no pueden corromper la virtu misma En resumen, puesto que hemos demuestrado.
video_1_segment_1009| al principio de este estudio que las virtudes son medios, se sigue de aquí que cuanto más grande es la virtud, más medio será. | al principio de este estudio que las virtudes son medios, se sigue de aqu que cuanto ms grande es la virtud, ms medio ser.
video_1_segment_101| que no se puede hablar de vida mente del bien, sin acudir forzosamente a su idea o la idea del bien. Es preciso, dicen, hablar de | que no se puede hablar de vida mente del bien, sin acudir forzosamente a su idea o la idea del bien Es preciso, dicen, hablar de.
